ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Timer,Meta: _wcsquare_disable_sync,Meta: _wpas_done_all,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _roi_related_products,Meta: _checkbox,Meta: berocket_post_order,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_title,Attribute 1 default
577N,simple,,Chocolate Almond Milk 16oz,1,0,visible,"<p class=""Body"">Chocolate decadence! We created this chocolate “treat” using almonds as our base so you enjoy a chocolate drink without the guilt. Simple, organic ingredients and dark cocoa (no sugar added). No additives or preservatives. Only California organic almond, we pride ourselves on our recipes that create ‘creamy’ non-dairy milks that are naturally rich and lightly sweetened with dates. Vegan, dairy-free. Gluten-free.</p>
\n<p class=""Body"">Ingredients: Almonds, filtered water, dates, dark cocoa powder</p>",,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Nut Milks > Almond Milks, New",nut milk,,https://cancancleanse.com/wp-content/uploads/2018/10/Chocolate-Almond-Milk.jpg,,,,,,,,,39,czowOiIiOw==,no,1,,30,678,,0,Volume,16 oz,1,0,,
581N,simple,,Mixed Nut Milk,1,0,visible,"<p class=""Body"">A mix of almonds, Brazil nuts and hazelnuts with a pinch of cinnamon creates a classic, yet more complex and nutty flavor blend. Perfect to be enjoyed on it's own or to add to smoothies, protein shakes or a bowl of granola. No additives or preservatives and never any added refined sugars. Vegan, dairy-free. Gluten-free.</p>
\n<p class=""Body"">Ingredients: Almonds, Brazil nut, hazelnut, dates, cinnamon, filtered water</p>",,,,taxable,,1,,,0,0,,,,,1,,,9.95,"New, Nut Milks",nut milk,,https://cancancleanse.com/wp-content/uploads/2018/10/Vanilla-unsweetened-cardamom.jpg,,,,,,,,,47,czowOiIiOw==,no,1,,30,681,,0,Volume,16 oz,1,0,,
587N,simple,,Vanilla Almond Milk 16oz,1,0,visible,"<p class=""Body"">Almond joy! Our most popular flavor, almonds are an excellent source of monounsaturated and polyunsaturated oils, protein, potassium, magnesium, calcium, iron, zinc and vitamin E. This high-fiber nut, contains the flavonoid laetrile, which largely contributes to the fight against heart disease and cancer. Using only California organic almond, we pride ourselves on our small batch recipes that create ‘creamy’ non-dairy milks that are naturally rich and lightly sweetened with dates. Simple, organic ingredients. Never any added emulsifiers, preservatives or refined sugars. Vegan, dairy-free. Gluten-free.</p>
\n<p class=""Body"">Ingredients: Almond, filtered water, dates, vanilla bean</p>",,,,none,,1,,,0,0,,,,,1,,,9.95,"Nut Milks > Almond Milks, New",nut milk,,https://cancancleanse.com/wp-content/uploads/2018/10/Vanilla-unsweetened-cardamom.jpg,,,,,,,,,45,czowOiIiOw==,no,1,,30,677,,0,Volume,16 oz,1,0,,
597N,simple,,Cold-Brew Coffee 12oz,1,0,visible,"We've partnered with our Bay Area friends at <strong>Bicycle Coffee Co. </strong>to bring you a cold-brew coffee with almond milk. A rich, refreshing, blend of quality coffee and delicious homemade CAN CAN Nut Milk. You will love this cold-brew latte!
\n
\nIngredients: Coffee, Almond Milk (almonds, dates, filtered water)",,,,none,,1,,,0,0,,,,,1,,,5.95,"Nut Milks > Almond Milks, Soups &amp; More > Coffee, New",,,https://cancancleanse.com/wp-content/uploads/2018/10/cold-brew-and-mocha-1.jpg,,,,,,,,,12,czowOiIiOw==,no,1,,30,1436,no,0,Volume,12 oz,1,0,,
600N,simple,,Cold-Brew Mocha 12oz,1,0,visible,"We've partnered with our Bay Area friends at <strong>Bicycle Coffee Co. </strong>to bring you a cold-brew coffee mocha with almond milk. A rich, refreshing, blend of quality coffee and delicious homemade CAN CAN Nut Milk. You will love this cold-brew mocha!
\n
\nIngredients: Coffee, Chocolate Almond Milk (almonds, dates, dark cocoa, filtered water)",,,,none,,1,,,0,0,,,,,1,,,5.95,"Nut Milks > Almond Milks, Soups &amp; More > Coffee, New",,,https://cancancleanse.com/wp-content/uploads/2018/10/cold-brew-and-mocha-1.jpg,,,,,,,,,13,czowOiIiOw==,no,1,,30,693,no,0,Volume,12 oz,1,0,,
710N,simple,,Chocolate Chia Pudding,1,0,visible,"A decadent, delicious and fiber-packed breakfast, snack or dessert. Our chia pudding is truly the best because each small batch is made with our homemade organic CAN CAN Nut Milk. You will taste the difference! Chia seeds boast the best plant source of omega-3 fatty acids. We use dates as our sweetener. Never any added refined sugars or sweeteners.
\n
\nIngredients: Chocolate almond milk (almonds, dates, dark cocoa, filtered water), black chia seeds",,,,none,,1,,,0,0,,,,,1,,,6.95,"Soups &amp; More > Chia Pudding, New",,,https://cancancleanse.com/wp-content/uploads/2018/11/Chocolate-Chia-Pudding.jpeg,,,,,,,,,14,czowOiIiOw==,no,1,,30,695,,0,,,,,,
711N,simple,,Vanilla Chia Pudding,1,0,visible,"A rich, filling and fiber-packed breakfast, snack or dessert. Our chia pudding is truly the best because each small batch is made with our homemade organic CAN CAN Nut Milk. You will taste the difference! Chia seeds boast the best plant source of omega-3 fatty acids. We use dates as our sweetener. Never any added refined sugars or sweeteners.
\n
\nIngredients: Vanilla almond milk (almonds, vanilla bean, dates, filtered water), black chia seeds",,,,none,,1,,,0,0,,,,,1,,,6.95,"Soups &amp; More > Chia Pudding, New",,,https://cancancleanse.com/wp-content/uploads/2018/11/Vanilla-chia-pudding.jpeg,,,,,,,,,15,czowOiIiOw==,no,1,,30,694,,0,,,,,,
718N,simple,,Grape Pear 16oz,0,0,visible,"This fall favorite is antioxidant-rich and naturally tart and sweet. Your go-to juice when sugar cravings hit. Fresh pressed seasonal grapes and pears with a touch of lemon. A low-calorie fruit juice blend that full of bright flavor and deliciousness.
\n
\nIngredients: Grape, pear, lemon",,,,none,,1,,,0,0,,,,,1,,,9.95,"Juices > Fruit Juices, New",juice,,https://cancancleanse.com/wp-content/uploads/2018/10/Better-Brain-Juice.jpg,,,,,,,,,40,czowOiIiOw==,no,1,84,30,666,no,0,Volume,16 oz,1,0,,
728N,simple,,Spring Root Carrot Ginger Soup,1,0,visible,"Our carrot ginger soup is a light, flavorful root soup. We start by slow roasting the carrots and fennel to bring out a caramelized, naturally sweet flavor. The fresh ginger and splash of lemon add touches of spice and zing to this nutritious, fiber rich soup.
\n
\n<span class=""il"">Ingredients: Carrot</span>, <span class=""il"">ginger</span>, fennel, onion, celery, cayenne, olive oil, lemon, sea salt, filtered water",,,,none,,1,,,0,0,,,,,1,,,9.95,"New, Soups &amp; More > Soups",,,https://cancancleanse.com/wp-content/uploads/2018/11/soup-2-carrot-ginger.jpg,,,,,,,,,9,czowOiIiOw==,no,1,,30,697,no,0,Volume,16 oz,1,0,,
729N,simple,,Zucchini Basil Soup,1,0,visible,"Bursting with color and flavor, our zucchini basil soup is a seasonal favorite. This green soup is naturally light and delicious as well as very hydrating and nutrient dense. Fresh basil adds zest to the slow roasted zucchini. Plant based, vegan, gluten free. A must try!
\n
\nIngredients: Zucchini, basil, leek, onion, celery, lemon, olive oil, sea salt, filtered water",,,,none,,1,,,0,0,,,,,1,,,9.95,"New, Soups &amp; More > Soups",,,https://cancancleanse.com/wp-content/uploads/2018/11/soup-1-zucchini-basil.jpg,,,,,,,,,11,czowOiIiOw==,no,1,,30,1437,no,0,Volume,16 oz,1,0,,
848N,simple,,8-Week Challenge,1,0,visible,,"<span style=""color: #000000; font-family: georgia, times, times new roman, serif;"">The NEW YEAR is all about YOU! </span>
\n
\n<span style=""color: #000000; font-family: georgia, times, times new roman, serif;"">One 1-Day Cleanse
\n1x per week for 8 weeks
\n<em>Special Offer!</em></span>
\n<span style=""color: #000000; font-family: georgia, times, times new roman, serif;"">$495
\n<em>(Save $265) </em>
\nJOIN US!</span>
\n
\nSelect your first delivery date and an email will be sent to coordinate details including desired cleanse program and delivery schedule for the duration of the program. You may choose to vary the cleanse program each week or stick to the program that works best (or tastes best) to you!
\n
\nCleanse programs to choose from: Classic, Green Core Weight Loss, Warming, Power or Ra Ra",,,none,,1,,,0,0,,,,,1,,,495,"New, Cleanses > The Challenges",cleanse,,https://cancancleanse.com/wp-content/uploads/2018/11/Juice-Pyramid-8-week-challenge.jpg,,,,,,,,,8,czowOiIiOw==,no,1,91,90,82,no,0,,,,,,
849N,simple,,12 Weeks To Better Body,1,0,visible,"Work with me for 12 weeks, yay! One on one time to talk, plan, coach and succeed at your health and better body goals. This program requires commitment and dedication as you will be held accountable to staying on you wellness path.","This very special program was designed as an opportunity for me to spend dedicated time to help YOU, my clients and inspirations for everything CAN CAN! Going beyond a seasonal cleanse, we will work together on your health goals. We will talk about your relationship with food, your intentions, hopes and dreams for a healthy body and lifestyle and how we create results. We prioritize healthy you every week and take steps to building your toolbox to living a lighter, brighter and happier you inside and out.
\n
\nProgram includes:
\n
\nCustomized<strong> 6 Days of CAN CAN Cleanse</strong> (<em>spread out over the 12 week program to best support your goals)</em>
\n
\n30 minute weekly one-on-one phone check-ins to:
\n<ul>
\n 	<li>Review diet</li>
\n 	<li>Caloric intake</li>
\n 	<li>Weight loss goals</li>
\n 	<li>Discuss eating habits and portion control</li>
\n 	<li>Strategize snacks and meal plans</li>
\n</ul>
\nI am looking forward to 12 weeks together!",,,none,,1,,,0,0,,,,,1,,,850,"New, Cleanses > The Challenges",cleanse,,https://cancancleanse.com/wp-content/uploads/2018/11/CAN_CAN_Logo-12-Week_.jpg,,,,,,,,,6,czowOiIiOw==,no,1,91,90,1418,no,0,,,,,,
857N,simple,,Sunrise Almond Milk 16oz,1,0,visible,"A bright, tasty blend of juice and almond milk. Fresh orange, carrot, ginger juice pair perfectly with mixed nut milk creating a delicious orange creamsicle flavor. Delightful in the morning or before or after a workout. No additives or preservatives and never any added refined sugars. Vegan, dairy-free. Gluten-free.
\n
\nIngredients: Almond, Brazil nut, hazelnut, filtered water, carrot, orange, ginger, dates, cinnamon",,,,none,,1,,,0,0,,,,,1,,,9.95,"Nut Milks > Almond Milks, New",nut milk,,https://cancancleanse.com/wp-content/uploads/2018/10/Sunrise-.jpg,,,,,,,,,43,czowOiIiOw==,no,1,,30,679,,0,,,,,,
970N,simple,,1-Day Cleanse,1,0,visible,,,,,none,,1,,,0,0,,,,,1,,,95,"Gift Certificates > Cleanse Gifts, Gift Certificates, New",,,https://cancancleanse.com/wp-content/uploads/2018/11/Gift-Cert-1.jpg,,,,,,,,,18,YToxOntpOjA7czo2OiJ8MTAwJXwiO30=,no,1,128,30,1441,,0,,,,,,
972N,simple,,3-Day Cleanse,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,279,"Gift Certificates, New",,,https://cancancleanse.com/wp-content/uploads/2018/11/Gift-Cert-1.jpg,,,,,,,,,19,czowOiIiOw==,no,1,,30,1442,,0,,,,,,
973N,simple,,5-Day Cleanse,1,0,visible,,,,,none,,1,,,0,0,,,,,1,,,459,"Gift Certificates, New",,,https://cancancleanse.com/wp-content/uploads/2018/11/Gift-Cert-1.jpg,,,,,,,,,20,czowOiIiOw==,no,1,,30,1443,,0,,,,,,
977N,simple,,$100 Value,1,0,visible,,,,,none,,1,,,0,0,,,,,1,,,100,"Gift Certificates, New",,,https://cancancleanse.com/wp-content/uploads/2018/11/Gift-Cert-1.jpg,,,,,,,,,35,czowOiIiOw==,no,1,,30,1440,,0,,,,,,
978N,simple,,$50 Value,1,0,visible,,,,,none,,1,,,0,0,,,,,1,,,50,"Gift Certificates, New",,,https://cancancleanse.com/wp-content/uploads/2018/11/Gift-Cert-1.jpg,,,,,,,,,21,czowOiIiOw==,no,1,,30,1439,,0,,,,,,
1009N,simple,,Roasted Butternut Squash Soup,1,0,visible,"This savory soup is full of vibrant vegetables and an abundance of warming spices. The slow roasted butternut squash creates a smooth, low-calorie vegetable base. We then add curry and cumin for a brilliant flavor. A perfect soup to be enjoyed during the cooler months of the year and to add brightness to the body and mind on darker days. Plant based, vegan, gluten free.
\n
\nIngredients: Butternut squash, carrot, celery, onion, ginger, cayenne, cumin, curry, cinnamon, olive oil, coconut oil, sea salt, filtered water.",,,,none,,1,,,0,0,,,,,1,,,9.95,"New, Soups &amp; More > Soups",,,https://cancancleanse.com/wp-content/uploads/2018/11/soup-2-carrot-ginger.jpg,,,,,,,,,10,czowOiIiOw==,no,,,30,1438,,0,,,,,,
1213N,simple,,Holiday Spice Almond Milk 16oz,0,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Nut Milks > Almond Milks, New",nut milk,,https://cancancleanse.com/wp-content/uploads/2018/12/nut_milk.jpg,,,,,,,,,4,czowOiIiOw==,,,84,30,689,no,0,,,,,,
1214N,simple,,Chocolate Peppermint Almond Milk 16oz,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Nut Milks > Almond Milks, New",nut milk,,https://cancancleanse.com/wp-content/uploads/2018/12/chocolate_mint_pic.jpg,,,,,,,,,1,YToxOntpOjA7czo1MToic2V0X3Zpc2libGV8MTAwJXxkYXRlX3JhbmdlPjEyLzAxLzIwMjAgLSAwMS8xNS8yMDIxIjt9,,,,30,1434,no,0,,,,,,
1265N,simple,,Hemp Extract Elixir Pack (2 Elixirs),0,0,visible,"Add a hemp extract elixir pack to your order.
\n
\nContains: 1 Lemon Ginger Elixir and 1 Totally Turmeric Elixir
\n
\nEach elixir is 2oz and contains 15mg of hemp extract.",,,,taxable,,1,,,0,0,,,,,1,,,20,"New, Uncategorized",Hemp Extract Elixir,,https://cancancleanse.com/wp-content/uploads/2018/12/Elixir-Duo-REVISED-scaled.jpg,,,,,,,,,2,czowOiIiOw==,,,89,30,1435,no,0,,,,,%%title%% %%page%% For Sale %%sep%% %%sitename%%,
1338N,simple,,Hemp Extract Elixir 3-Day Pack (6 Elixirs),0,0,visible,"Add a hemp extract elixir pack to your order.
\n
\nContains: 3 Lemon Ginger Elixirs and 3 Totally Turmeric Elixirs
\n
\nEach elixir is 2oz and contains 15mg of hemp extract.
\n
\n&nbsp;",,,,taxable,,1,,,0,0,,,,,1,,,60,"New, Uncategorized",Hemp Extract Elixir,,https://cancancleanse.com/wp-content/uploads/2018/12/Elixir-Duo-REVISED-scaled.jpg,,,,,,,,,3,czowOiIiOw==,,,89,30,1447,no,0,,,,,%%title%% %%page%% For Sale %%sep%% %%sitename%%,
1550N,simple,,Celery Juice 16oz,1,0,visible,"<span style=""font-family: georgia, times, times new roman, serif;"">Celery juice boasts super anti-inflammatory powers, offers pH balancing and support and healing of chronic illness and auto-immune disorders. Filled with natural electrolytes, celery juice also supports adrenal glands, stress relief and repairs damaged cells in the liver. </span>
\n
\nIngredients: 100% organic celery.<span class=""Apple-converted-space""> </span>",,,,taxable,,1,,,0,0,,,,,1,,,9.95,"Juices > Green Juices, Juices, New",juice,,https://cancancleanse.com/wp-content/uploads/2018/10/Lite-green.jpg,,,,,,,,,46,czowOiIiOw==,no,1,23,30,1482,no,0,Volume,16 oz,1,0,,
2356N,simple,,Celery Root Sage Soup,1,0,visible,"All things fall. This root-veggie based soup is warming and ""creamy"" yet 100% vegan. We slow roast the celery root, which adds a rich, cozy dimension to this pureed soup. Fresh sage and thyme delight the senses adding a touch of ""Thanksgiving holiday"" to the flavor profile. A perfect soup to be enjoyed during the cooler months of the year. Plant based, vegan, gluten free.
\n
\nIngredients: Celery root, sage, onion, garlic, cayenne, thyme, olive oil, sea salt, filtered water.",,,,none,,1,,,0,0,,,,,1,,,9.95,"New, Soups &amp; More > Soups",,,https://cancancleanse.com/wp-content/uploads/2019/10/celery-root-1.jpg,,,,,,,,,10,czowOiIiOw==,no,,95,30,1438,no,0,,,,,,
